time,goldblue,goldred,goldblueTop,golddiff
1,2415,2415,475,0
2,2415,2415,475,0
3,2711,2725,532,-14
4,3887,3952,687,-65
5,5068,5336,893,-268
6,6171,6602,1058,-431
7,7412,7900,1172,-488
8,8661,9450,1471,-789
9,10154,10648,1832,-494
10,11361,11986,2051,-625
11,12677,13721,2249,-1044
12,14558,14871,2654,-313
13,15548,16308,2971,-760
14,16980,17677,3284,-697
15,18324,19114,3630,-790
16,19952,20563,3935,-611
17,22874,22634,4504,240
18,25274,24429,5059,845
19,27215,26418,5342,797
20,29519,28097,6008,1422
21,30690,29703,6234,987
22,31881,31712,6347,169
23,33386,32954,6703,432
24,34700,34209,7163,491
25,36511,35306,7482,1205
26,37791,36264,7991,1527
27,39384,37737,8295,1647
28,40458,38611,8539,1847
29,43882,40132,9263,3750
30,45845,41126,9868,4719
31,47672,44111,10050,3561
32,49049,45682,10164,3367
33,50452,47566,10671,2886
34,52515,49609,10832,2906
35,55090,50679,11172,4411
36,56589,52116,11424,4473
37,57860,53221,11848,4639
38,58958,54196,12025,4762
39,59940,55254,12140,4686
40,62729,56672,12526,6057
